Title / author,Translator,Original,Reference,Translation,Meaning (1-5),Poeticness (1-5),Overall (1-5)
"Sbohem a šáteček 1
Vítězslav Nezval",Roman Kostovski,"Sbohem a kdybychom se nikdy nesetkali
bylo to překrásné a bylo toho dost
Sbohem a kdybychom si spolu schůzku dali
možná že nepřijdem že přijde jiný host","Goodbye and if we should not ever meet anew
it really was delightful and quite enough for some
Goodbye and if we should yet make a rendezvous
maybe instead of us another guest will come","Farewell, and if we no longer meet
Our time was marvelous—we’ve shared enough
Farewell, and soon our trysts will be
With someone new, someone else’s love",4,3.5,4
"Sbohem a šáteček 1
Vítězslav Nezval",Vilém Zouhar,"Farewell, and if we no longer meet
Our time was marvelous—we’ve shared enough
Farewell, and soon our trysts will be
With someone new, someone else’s love","Goodbye and if we should not ever meet anew
it really was delightful and quite enough for some
Goodbye and if we should yet make a rendezvous
maybe instead of us another guest will come","Farewell and if we never meet again
it was beautiful and it was a lot
Farewell and if to meet we arrange
maybe someone else will come and we will not.",4.5,4,4
"Sbohem a šáteček 1
Vítězslav Nezval",Google Translate,"Sbohem a kdybychom se nikdy nesetkali
bylo to překrásné a bylo toho dost
Sbohem a kdybychom si spolu schůzku dali
možná že nepřijdem že přijde jiný host","Goodbye and if we should not ever meet anew
it really was delightful and quite enough for some
Goodbye and if we should yet make a rendezvous
maybe instead of us another guest will come","Goodbye and may we never meet
it was beautiful and there was enough of it
Goodbye and if we could make an appointment together
maybe I won't come, another guest will come",4.5,2,2.5
"Sbohem a šáteček 1
Vítězslav Nezval",LINDAT,"Sbohem a kdybychom se nikdy nesetkali
bylo to překrásné a bylo toho dost
Sbohem a kdybychom si spolu schůzku dali
možná že nepřijdem že přijde jiný host","Farewell, and if we no longer meet
Our time was marvelous—we’ve shared enough
Farewell, and soon our trysts will be
With someone new, someone else’s love","Goodbye and if we had never met
It was beautiful and it was enough
Goodbye and if we had met
maybe we wouldn't come that another guest would come",2,2,2
"Sbohem a šáteček 2
Vítězslav Nezval",Vilém Zouhar,"Bylo to překrásné žel všecko má svůj konec
Mlč umíráčku mlč ten smutek já už znám
Polibek kapesník siréna lodní zvonec
tři čtyři úsměvy a potom zůstat sám","It really was delightful but everything has an end
Hush tolling bell I know that sadness from before
A kiss a napkin siren ship’s bell to portend
three or four smiles and then to be alone once more","It was beautiful, alas everything has its end
Stay silent, passing bell, I know the sorrow all to well
Being left alone after a three-four smiles mend
A kiss, a handkerchief, a siren a ship's bell.",3,4,4
"Sbohem a šáteček 2
Vítězslav Nezval",LINDAT,"Bylo to překrásné žel všecko má svůj konec
Mlč umíráčku mlč ten smutek já už znám
Polibek kapesník siréna lodní zvonec
tři čtyři úsměvy a potom zůstat sám","It really was delightful but everything has an end
Hush tolling bell I know that sadness from before
A kiss a napkin siren ship’s bell to portend
three or four smiles and then to be alone once more","It was beautiful Alas all things have an end
Shut up death knell I know the sadness
Kiss handkerchief siren ship's bell
three or four smiles and then be alone",4,3.5,3.5
"Sbohem a šáteček 2
Vítězslav Nezval",Roman Kostovski,"Bylo to překrásné žel všecko má svůj konec
Mlč umíráčku mlč ten smutek já už znám
Polibek kapesník siréna lodní zvonec
tři čtyři úsměvy a potom zůstat sám","It really was delightful but everything has an end
Hush tolling bell I know that sadness from before
A kiss a napkin siren ship’s bell to portend
three or four smiles and then to be alone once more","Our time was marvelous but all things end
Be silent knell your sorrow is quite clear
A kiss, a handkerchief, a ship’s bell, a siren
One last smile as we part from here",3,4,3.5
"Sbohem a šáteček 2
Vítězslav Nezval",Google Translate,"Bylo to překrásné žel všecko má svůj konec
Mlč umíráčku mlč ten smutek já už znám
Polibek kapesník siréna lodní zvonec
tři čtyři úsměvy a potom zůstat sám","It really was delightful but everything has an end
Hush tolling bell I know that sadness from before
A kiss a napkin siren ship’s bell to portend
three or four smiles and then to be alone once more","It was beautiful, but everything has an end
Shut up, dying woman, shut up, I already know that sadness
Kiss handkerchief siren ship bell
three or four smiles and then be left alone",2,2.5,2.5
"Sbohem a šáteček 3
Vítězslav Nezval",LINDAT,"Goodbye and if we didn't ask for more
may we leave behind a tiny relic
as airy as a handkerchief as plain as a postcard
and a little vague as a fragrance tinsel","Goodbye and if we should not ever speak again
let there be something left a keepsake what we meant
as airy as a napkin more than a postcard plain
with suppositious scent of gilded ornament","Goodbye and if we didn't ask for more
may we leave behind a tiny relic
as airy as a handkerchief as plain as a postcard
and a little vague as a fragrance tinsel",3,3,3
"Sbohem a šáteček 3
Vítězslav Nezval",Roman Kostovski,"Sbohem a kdybychom si neřekli už více
ať po nás zůstane maličká památka
vzdušná jak kapesník prostší než pohlednice
a trochu mámivá jak vůně pozlátka","Goodbye and if we should not ever speak again
let there be something left a keepsake what we meant
as airy as a napkin more than a postcard plain
with suppositious scent of gilded ornament","Farewell and if we never speak again
Let a small memory of us unfold
Lighter than a handkerchief fluttering in the wind
Tempting as the scent of gleaming gold",4,3,3.5
"Sbohem a šáteček 3
Vítězslav Nezval",Google Translate,"Sbohem a kdybychom si neřekli už více
ať po nás zůstane maličká památka
vzdušná jak kapesník prostší než pohlednice
a trochu mámivá jak vůně pozlátka","Goodbye and if we should not ever speak again
let there be something left a keepsake what we meant
as airy as a napkin more than a postcard plain
with suppositious scent of gilded ornament","Goodbye and if we don't talk anymore
let a small memory remain behind us
airy as a handkerchief simpler than a postcard
and a bit intoxicating like the smell of tinsel",4,3,3.5
"Sbohem a šáteček 3
Vítězslav Nezval",Vilém Zouhar,"Sbohem a kdybychom si neřekli už více
ať po nás zůstane maličká památka
vzdušná jak kapesník prostší než pohlednice
a trochu mámivá jak vůně pozlátka","Goodbye and if we should not ever speak again
let there be something left a keepsake what we meant
as airy as a napkin more than a postcard plain
with suppositious scent of gilded ornament","Farewell and if we talk no more
of all of us let a small memento remain
airy as a handkerchief, plain as a postcard on the floor
and little intoxicating as the scent of golden cane.",3,3,3
"Sbohem a šáteček 4
Vítězslav Nezval",LINDAT,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I chanced to notice what others did not see
so much the better swift as you seek your home byre
You have shown me the south your nest there in etui
Your fate is flight my fate is song without a lyre","And if I've seen what others haven't
so much the better, swallow looking for your native barn
You showed me the south where you keep your nest in your closet
Your destiny is flight My destiny is singing",2.5,2.5,2.5
"Sbohem a šáteček 4
Vítězslav Nezval",Vilém Zouhar,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I chanced to notice what others did not see
so much the better swift as you seek your home byre
You have shown me the south your nest there in etui
Your fate is flight my fate is song without a lyre","And if we saw what others did not
the better, swallow who seeks your anchor ring
You showed me the south where in a wardrobe you squat
your destiny is to fly, mine is to sing.",4,4.5,4.5
"Sbohem a šáteček 4
Vítězslav Nezval",Roman Kostovski,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I’ve seen what no one’s seen before
That’s for the best. Swallow, seek your native barn!
You’ve shown me the south where you’ll nest once more
Your destiny’s flight, my destiny’s song","And if I’ve seen what no one’s seen before
That’s for the best. Swallow, seek your native barn!
You’ve shown me the south where you’ll nest once more
Your destiny’s flight, my destiny’s song",4.5,4,4.5
"Sbohem a šáteček 4
Vítězslav Nezval",Google Translate,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I chanced to notice what others did not see
so much the better swift as you seek your home byre
You have shown me the south your nest there in etui
Your fate is flight my fate is song without a lyre","And if I saw what others did not see
the better the swallow that you are looking for a native barn
You showed me south where you keep your nest in the closet
Your destiny is to fly, my destiny is to sing",4,3,3.5
"Sbohem a šáteček 5
Vítězslav Nezval",Vilém Zouhar,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Farewell and if all this was for the last time
these hardships, my hopes will not have prevailed
Should we mean to meet again, goodbyes are not prime
Farewell and a handkerchief. Destiny be fulfilled. ",3.5,3.5,3.5
"Sbohem a šáteček 5
Vítězslav Nezval",Google Translate,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Goodbye and if it was all for the last time
the worse my hope will be nothing left for you
If I want to meet, don't say goodbye
Goodbye and scarf Fulfill your destiny!",2.5,2,2.5
"Sbohem a šáteček 5
Vítězslav Nezval",LINDAT,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Farewell, and if it was all for the last time
the worse my hopes will leave nothing for you
If we want to meet let's not say goodbye
Farewell and a scarf Fulfil your destiny!",2.5,2,2.5
"Sbohem a šáteček 5
Vítězslav Nezval",Roman Kostovski,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Farewell, and if it’s for the last time
So much for my hopes—nothing else is left
But if you wish to meet again, don’t say goodbye
Leave it to fate! Farewell and a handkerchief!",4,4.5,4.5